,title,date,Incident,Type,Location,Weather,Tagged,Incident_Type,Incident_Cause,url,main_text,rescue_info,start_time,end_time,hrs,staff,location,total_hrs,Other Agencies,Diagnosis,year,month,year_month
685,Scafell – Sun 8th Aug 2021,2021-08-08,59 in 2021,Full Callout — Lost,Scafell,"['Mist', 'Rain']",['Lost'],Full Callout,Lost,https://www.wmrt.org.uk/incidents/scafell-sun-8th-aug-2021/,"We were alerted by Cumbria Police about 2 walkers who were unsure of the way off Scafell and one had a sore ankle. Initially, 2 team members were asked to deploy with warm clothing and a bivvy shelter as it was stated that the person with the sore ankle could walk down. Also the description of the location did not tally with the phone-find. Subsequent information received then stated that the person could not walk down so a full team call out was initiated. However, the walkers did manage to get themselves down and were met near Brackenclose by team members. ", Incident started at 17:24 and ended at 20:13 making 2.8 hrs in total. There were 17 Wasdale team members involved and the incident occured at NY 196069. Total rescuer hours: 48,17:24,20:13,2.8,17,NY 196069,48.0,,,2021,8,2021-08-01
686,"Pikes Crag, Scafell Pike – Wed 4th Aug 2021",2021-08-04,58 in 2021,Full Callout — Cragfast,"Pikes Crag, Scafell Pike","['Sunny', 'Warm']",['Cragfast'],Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/pikes-crag-scafell-pike-wed-4th-aug-2021/,"We were alerted by Cumbria Police about a walker who had attempted to take a more direct route up Scafell Pike via Pikes Crag and became stuck on steep ground. He was unhurt. Helicopter assistance was requested to help lift up a crag team and a large amount of heavy equipment, as a full crag rescue might have been needed. 4 Duddon and Furness and 2 Wasdale team members were lifted up with R199 with the equipment. Other members made their way to the bottom of the crag, also with a large amount of equipment, to act as spotters and a receiving party. Fortunately, a Duddon and Furness team member who was lowered down to the casualty was able to equip him with a harness and helmet, before being assisted back up relatively easily to the top of the crag.
We all walked back down and were met by members of both teams who further assisted with carrying the equipment back down to the vehicles. Thank you to Duddon and Furness and R199 for making a busy week a lot easier! ", Incident started at 12:51 and ended at 20:17 making 7.4 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY 209073. Total rescuer hours: 111,12:51,20:17,7.4,15,NY 209073,111.0,"['Coastguard', 'Duddon & Furness MRT']",,2021,8,2021-08-01
687,Scafell Pike – Tue 3rd Aug 2021,2021-08-03,57 in 2021,Full Callout — Injured & Medical,Scafell Pike,"['Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-tue-3rd-aug-2021/,"We were alerted by Cumbria Police about a walker who had sustained an ankle injury on Scafell Pike. A Wasdale MRT Team Leader had come across the casualty on their descent.
The casualty was treated at the scene and stretchered down to Brackenclose to be taken to hospital by ambulance. We hope the casualty has a speedy recovery. ", Incident started at 13:04 and ended at 19:56 making 6.9 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY 211075. Total rescuer hours: 124,13:04,19:56,6.9,18,NY 211075,124.0,,Ankle Injury,2021,8,2021-08-01
688,Wastwater Screes – Mon 2nd Aug 2021,2021-08-02,56 in 2021,Full Callout — Injured & Medical,Wast Water Screes,"['Sunny', 'Warm']","['Boat', 'Cyclist', 'Screes']",Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/wastwater-screes-mon-2nd-aug-2021/,"We were alerted by Cumbria Police about a walker who had sustained a knee injury on the lakeshore path on Wastwater.
The team had already planned a training exercise that evening using the boat in that area, and practicing extrication on the steep boulder fields.
The couple had been advised by more than one group that it was a suitable cycling route Ã¢â‚¬â€œ we would disagree! Ã¢â‚¬â€œ see photos. However, the injury was not sustained whilst cycling. The casualty was treated and transported across the lake by boat to a waiting ambulance. ", Incident started at 17:01 and ended at 21:10 making 4.2 hrs in total. There were 21 Wasdale team members involved and the incident occured at NY 155048. Total rescuer hours: 88,17:01,21:10,4.2,21,NY 155048,88.0,,Knee Injury,2021,8,2021-08-01
689,Broad Crag – Sun 1st Aug 2021,2021-08-01,55 in 2021,Full Callout — Injured & Medical,Broad Crag,"['Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/broad-crag-sun-1st-aug-2021/,"We were alerted by Cumbria Police about a walker who had sustained a knee injury on Broad Crag, (Scafell Pike).
As a stretcher carry from there is particularly long, potentially dangerous, and difficult in any direction, air assistance was requested. The casualty was airlifted to hospital by Helimed 08 as team members were starting to arrive on scene. Thank you again to Duddon and Furness and Helimed 08 for your assistance. ", Incident started at 15:26 and ended at 20:43 making 5.3 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY 218075. Total rescuer hours: 69,15:26,20:43,5.3,13,NY 218075,69.0,"['Duddon & Furness MRT', 'North West Air Ambulance']",Knee Injury,2021,8,2021-08-01
690,"Scafell Pike Summit, Scafell Pike – Sat 31st Jul 2021",2021-07-31,54 in 2021,Alert — Lost,"Scafell Pike Summit, Scafell Pike","['Dark', 'Mist', 'Windy']",,Alert,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-summit-scafell-pike-sat-31st-jul-2021/,"We were alerted by Cumbria Police about 2 walkers who had got lost near the summit of Scafell Pike. The Team Leader was able to pinpoint their location using Phonefind and advised them to walk back up to the top in the hope of meeting other walkers who could help them down.
Fortunately, this turned out to be the case and they arrived back in the valley around 0440 the following morning. As requested, they let the police know they were off the hill safe and well. ", Incident started at 22:45 and ended at 14:40 making 15.9 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 212071. Total rescuer hours: 16,22:45,14:40,15.9,1,NY 212071,16.0,,,2021,7,2021-07-01
691,"Hollowstones, Scafell Pike – Thu 29th Jul 2021",2021-07-29,53 in 2021,Limited Callout — Lost,"Hollowstones, Scafell Pike","['Cool', 'Mist', 'Showers']",,Limited Callout,Lost,https://www.wmrt.org.uk/incidents/thu-29th-jul-2021/,"We were alerted by Cumbria Police to say shouts for help were reported by some walkers on the Hollowstones section of the Scafell Pike path. The shouts appeared to come from the Scafell side of the hill. Two team members were deployed to do a hasty search, but before they started, a message was received to say the party who had been shouting had been located safe and well. They had lost the path in the mist. Thank you to the fellow walkers who went to look for them and made sure they were safe. ", Incident started at 15:38 and ended at 16:17 making 0.7 hrs in total. There were 3 Wasdale team members involved and the incident occured at NY206074. Total rescuer hours: 2.1,15:38,16:17,0.7,3,NY206074,2.1,,,2021,7,2021-07-01
692,Great Gable – Sun 25th Jul 2021,2021-07-25,52 in 2021,Full Callout — Cragfast,Great Gable,"['Cool', 'Dry']",,Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/great-gable-sun-25th-jul-2021/,"We were alerted by Cumbria Police about 3 walkers who were stuck on bad ground on their descent from Great Gable. Ã¢â‚¬Å“PhonefindÃ¢â‚¬Â put their location in or near Great Hell Gate but erring on the side of caution, extra resources were called for in case it turned out to be a crag rescue. The walkers were able to walk off with assistance. Many thanks to the RAF and Duddon and Furness for their assistance. ", Incident started at 00:37 and ended at 06:38 making 6 hrs in total. There were 9 Wasdale team members involved and the incident occured at NY211099. Total rescuer hours: 54,00:37,06:38,6.0,9,NY211099,54.0,"['Duddon & Furness MRT', 'RAF MRT']",,2021,7,2021-07-01
693,"Brown Tongue, Scafell Pike – Wed 21st Jul 2021",2021-07-21,51 in 2021,Full Callout — ,"Brown Tongue, Scafell Pike","['Clear', 'Hot']",,Full Callout,Other,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-sun-18th-jul-2021/,We were alerted by Cumbria Police about a walker who reported an ankle injury. He was given pain relief and helped to walk down as the injury was not thought to be a fracture. , Incident started at 20:05 and ended at 00:18 making 4.2 hrs in total. There were 15 Wasdale team members involved and the incident occured at NY 200072. Total rescuer hours: 63,20:05,00:18,4.2,15,NY 200072,63.0,,Ankle Injury,2021,7,2021-07-01
694,Yewbarrow – Sun 18th Jul 2021,2021-07-18,50 in 2021,Full Callout — Injured & Medical,Yewbarrow,"['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/yewbarrow-sun-18th-jul-2021/,"Cumbria Police alerted the Team Leader of 2 people that had taken a 20 metre fall off the Stirrup Crag area of Yewbarrow. This was reported to the police by two different passing walkers. Because of the known severity of the terrain and reported possible serious injuries the Coastguard helicopter, which has winching capabilities, was requested. Two Air Ambulances were scrambled as well because of the number of casualties. The teams made their way, on foot as quickly as possible, to the casualty site. On arrival, the helicopter doctors and paramedics had stabilised the two casualties as much as possible. The team prepared the area for the arrival of Rescue 199 (Coastguard) which winched the two people up and transferred them to the hospital for further treatment. We hope the gent and lady have a speedy recovery. This was fantastic multi-agency working, especially between the three helicopter crews. Thanks to them all for responding quickly. ", Incident started at 10:50 and ended at 17:11 making 6.4 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 175093. Total rescuer hours: 90,10:50,17:11,6.4,14,NY 175093,90.0,"['Coastguard', 'Duddon & Furness MRT', 'Great North Air Ambulance', 'North West Air Ambulance']",Multiple Injuries,2021,7,2021-07-01
695,"Scar Lathing, Upper Eskdale – Thu 15th Jul 2021",2021-07-15,49 in 2021,Full Callout — Injured & Medical,"Scar Lathing, Upper Eskdale","['Clear', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scar-lathing-upper-eskdale-thu-15th-jul-2021/,"A call came in from Cumbria Police about a male feeling unwell near Scar Lathing, upper Eskdale. Because of the nature of the medical condition, remote location and low number of available team members the Coastguard helicopter Rescue 936 kindly assisted, a big thanks for this! This saved us having to call other teams out at such a busy time. The gent was found by Jess and her handler as the helicopter arrived in the area. After a medical assessment by the aircraft Paramedic the casualty was flown to the bottom of Hardknott Pass to be taken to hospital by his friends. We hope the gent has a speedy recovery. ", Incident started at 00:43 and ended at 05:46 making 5.1 hrs in total. There were 4 Wasdale team members involved and the incident occured at NY 225049. Total rescuer hours: 20,00:43,05:46,5.1,4,NY 225049,20.0,['Lake District Mountain Rescue Search Dogs'],,2021,7,2021-07-01
696,Lingmell Nose – Tue 13th Jul 2021,2021-07-13,48 in 2021,Full Callout — Injured & Medical,Lingmell Nose,"['Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-nose-tue-13th-jul-2021/,We were alerted by Cumbria Police about a walker who was experiencing chest pains and struggling to breathe normally. He was treated at the scene and stretchered of to a waiting ambulance. , Incident started at 18:57 and ended at 22:22 making 3.4 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY 189074. Total rescuer hours: 37,18:57,22:22,3.4,11,NY 189074,37.0,,,2021,7,2021-07-01
697,Bigrigg – Sun 11th Jul 2021,2021-07-11,47 in 2021,Full Callout — Injured & Medical,Bigrigg,"['Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/bigrigg-sun-11th-jul-2021/,"We were alerted by North West Ambulance Service about a walker who had fainted and needed transporting from a field to the roadside. In the event, the team were not needed as the casualty was at the roadside when the team arrived. ", Incident started at 11:16 and ended at 11:44 making 0.5 hrs in total. There were 9 Wasdale team members involved and the incident occured at NX 991126. Total rescuer hours: 4.5,11:16,11:44,0.5,9,,4.5,,,2021,7,2021-07-01
698,"Brown Tongue, Scafell Pike – Wed 7th Jul 2021",2021-07-07,46 in 2021,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-wed-7th-jul-2021/,"We were alerted by Cumbria Police about a male who was struggling to walk because of an ankle injury. It was not thought to be fractured and after some pain relief, he was able to walk down with assistance from his family.
Thanks once again to Duddon and Furness team for their assistance. ", Incident started at 15:49 and ended at 19:58 making 4.2 hrs in total. There were 9 Wasdale team members involved and the incident occured at NY 204073. Total rescuer hours: 38,15:49,19:58,4.2,9,NY 204073,38.0,['Duddon & Furness MRT'],Ankle Injury,2021,7,2021-07-01
699,"Brown Tongue, Scafell Pike – Mon 5th Jul 2021",2021-07-05,45 in 2021,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-mon-5th-jul-2021/,"We were alerted by North West Ambulance Service about a male who was struggling to walk because of a severe cramp. He was able to make slow progress with frequent rests and was concerned about getting off the hill before nightfall. The team who were already crag training in Eskdale were mobilised and met the walker partway down the Brown Tongue path. After some food and water, he was able to walk down. ", Incident started at 19:31 and ended at 22:50 making 3.3 hrs in total. There were 18 Wasdale team members involved and the incident occured at NY 197073. Total rescuer hours: 59,19:31,22:50,3.3,18,NY 197073,59.0,['Duddon & Furness MRT'],Leg Injury,2021,7,2021-07-01
700,Scafell Pike – Thu 1st Jul 2021,2021-07-01,44 in 2021,Full Callout — Injured & Medical,Scafell Pike,"['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-pike-thu-1st-jul-2021/,A call came in about a lady with a broken arm close to the summit of Scafell Pike. Because of the location of the casualty and fatigue of team members after so many jobs the Coastguard helicopter assisted as well as Duddon MRT. The lady was airlifted to hospital for further treatment. We wish her a speedy recovery. Thanks to Rescue 199 and Duddon MRT- again ! , Incident started at 13:10 and ended at 17:03 making 3.9 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 212074. Total rescuer hours: 55,13:10,17:03,3.9,14,NY 212074,55.0,"['Coastguard', 'Duddon & Furness MRT']",Arm Injury,2021,7,2021-07-01
701,Boat How – Tue 29th Jun 2021,2021-06-29,43 in 2021,Full Callout — Lost,Boat How,"['Clear', 'Hot', 'Sunny']",,Full Callout,Lost,https://www.wmrt.org.uk/incidents/boat-how-tue-29th-jun-2021/,"The team was alerted of a group of 24 teenagers and two adults lost near Boat How. Contact with the group was not possible and the initial location from the phone signal was inconclusive. Later in the evening, another call came in about six of the same group who were still on the mountain. Cockermouth MRT was alerted as the situation developed. The team started to search the route up to Beck Head and Duddon and Furness MRT and the Coastguard were called for assistance. The group was found safe and well by team members near Beck Head. At this point, the Duddon team and the helicopter were stood down and the group was escorted off the fell to Wasdale Head. A big thanks to all other MR teams involved and Rescue 936 for their assistance. ", Incident started at 17:22 and ended at 01:54 making 8.5 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY 202111. Total rescuer hours: 119,17:22,01:54,8.5,14,NY 202111,119.0,"['Coastguard', 'Cockermouth MRT', 'Duddon & Furness MRT']",,2021,6,2021-06-01
702,Hardknott Pass – Tue 29th Jun 2021,2021-06-29,42 in 2021,Full Callout — Injured & Medical,Hardknott Pass,"['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/hardknott-pass-tue-29th-jun-2021/,The team was called out by the ambulance service to assist with a gentleman with a back injury on Hardknott Pass. Team members assisted by putting the casualty onto a stretcher and into one of our own vehicles. The gentleman was then transferred to the ambulance at the bottom of the pass for transport to the hospital. , Incident started at 14:16 and ended at 17:27 making 3.2 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY 225015. Total rescuer hours: 35,14:16,17:27,3.2,11,NY 225015,35.0,['North West Ambulance Service'],Back Injury,2021,6,2021-06-01
703,Sty Head – Tue 29th Jun 2021,2021-06-29,41 in 2021,Alert — Injured & Medical,Sty Head,"['Hot', 'Sunny']",,Alert,Injured & Medical,https://www.wmrt.org.uk/incidents/tue-29th-jun-2021/,"The Team Leader was alerted about a male with an ankle injury near the stretcher box at Sty Head tarn. Once the location was confirmed the job was handed over to Keswick MRT who kindly took control of the incident. They called in helicopter support and the casualty was flown to the hospital for treatment. Thanks to Keswick Mountain Rescue Team and Cockermouth Mountain Rescue Team, as well as Coastguard R199 for helping us out during such a busy period. ", Incident started at 07:57 and ended at 14:28 making 6.5 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 218095. Total rescuer hours: 7,07:57,14:28,6.5,1,NY 218095,7.0,"['Coastguard', 'Cockermouth MRT', 'Keswick MRT']",Ankle Injury,2021,6,2021-06-01
704,Great Gable – Mon 28th Jun 2021,2021-06-28,40 in 2021,Full Callout — Cragfast,Great Gable,"['Sunny', 'Warm']",['Cragfast'],Full Callout,Cragfast,https://www.wmrt.org.uk/incidents/great-gable-mon-28th-jun-2021/,"We were alerted by Cumbria Police about 2 walkers who had gone astray on their descent from Great Gable and become stuck on dangerous ground. The team was mobilised including the team drone and operator. The drone was used to help locate the walkers and guide the team to a suitable position. Once this was done a rope system was set up from above. A single rescuer was lowered down the gully to one of the walkers, who was then equipped with a harness and helmet, attached to the rope and both lowered to safer ground, the process being repeated for the second walker. That party then made their way off the fell, while the belaying party above stripped out the belays and made their way off the hill with that equipment plus the 250m of rope that had been used. Once back at base the equipment was checked and replenished and then the team gratefully consumed a large quantity of pizza which has been ordered by the Team Leader. ", Incident started at 16:45 and ended at 01:20 making 8.6 hrs in total. There were 19 Wasdale team members involved and the incident occured at NY 209100. Total rescuer hours: 163,16:45,01:20,8.6,19,NY 209100,163.0,,,2021,6,2021-06-01
705,Scafell – Sun 27th Jun 2021,2021-06-27,39 in 2021,Full Callout — Injured & Medical,"Hollow Gill, Scafell","['Cloudy Summits', 'Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/scafell-sun-27th-jun-2021/,We were alerted by Cumbria Police about a walker who had fallen on the way down from Scafell and sustained an ankle injury. Some team members who had just started the walk up to incident no. 36 were diverted to this incident. The casualtyÃ¢â‚¬â„¢s father had carried him a long way to avoid calling out the team Ã¢â‚¬â€œ thankyou! The casualty was met near Hollow Gill and stretchered the short distance back to Brackenclose. The family was able to take him to the hospital in their own transport. , Incident started at 17:07 and ended at 18:54 making 1.8 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY 183065. Total rescuer hours: 23,17:07,18:54,1.8,13,NY 183065,23.0,,Ankle Injury,2021,6,2021-06-01
706,Eskdale – Sun 27th Jun 2021,2021-06-27,38 in 2021,Alert — Other,Eskdale,"['Sunny', 'Warm']",['False Alarm'],Alert,Other,https://www.wmrt.org.uk/incidents/eskdale-sun-27th-jun-2021/,"We were alerted by Cumbria police about a parascender who appeared to be in difficulties in Eskdale. Enquiries revealed that there was an organised event taking place and some participants may have been performing acrobatics. All were accounted for, safe and well, so no further action was taken. ", Incident started at 16:10 and ended at 17:02 making 0.9 hrs in total. There were 3 Wasdale team members involved and the incident occured at NY 201019. Total rescuer hours: 2.7,16:10,17:02,0.9,3,NY 201019,2.7,,,2021,6,2021-06-01
707,"Lingmell Col, Scafell Pike – Sun 27th Jun 2021",2021-06-27,37 in 2021,Full Callout — Injured & Medical,"Lingmell Col, Scafell Pike","['Sunny', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/sun-27th-jun-2021/,"In the first of three incidents in quick succession, we were alerted by Cumbria Police about a walker who had fallen on the way down from Scafell Pike and sustained a wrist injury, plus cuts and bruises. The casualty was treated at the scene and taken to hospital by helicopter. Team members walked down with the other family member. Our thanks to the helicopter crew and Duddon and Furness team for their assistance. ", Incident started at 15:36 and ended at 18:53 making 3.3 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY 210077. Total rescuer hours: 43,15:36,18:53,3.3,13,NY 210077,43.0,"['Air Ambulance', 'Duddon & Furness MRT']",Wrist Injury,2021,6,2021-06-01
708,"Cam Spout, Scafell – Sat 26th Jun 2021",2021-06-26,36 in 2021,Full Callout — Injured & Medical,"Cam Spout, Scafell","['Cool', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/cam-spout-scafell-sat-26th-jun-2021/,"We were alerted by Cumbria police about a male who had fallen at Cam Spout waterfall in Eskdale, sustaining serious injuries. A coastguard helicopter was requested immediately and an air ambulance also attended. The casualty was treated at the scene and taken to hospital by helicopter. The team escorted members of the casualty’s party back to their vehicles. Our thanks to the helicopter crews for their assistance. ", Incident started at 17:30 and ended at 22:03 making 4.6 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY217058. Total rescuer hours: 60,17:30,22:03,4.6,13,NY217058,60.0,"['Duddon & Furness MRT', 'North West Air Ambulance', 'Rescue 199 from Prestwick']",Multiple Injuries,2021,6,2021-06-01
709,"Mickledore, Scafell Pike – Sat 26th Jun 2021",2021-06-26,35 in 2021,Full Callout — Injured & Medical,"Mickledore, Scafell Pike","['Cloudy Summits', 'Cool', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/mickledore-scafell-pike-sat-26th-jun-2021/,"We were alerted by Cumbria police about a male who had a head injury. The informant was at Mickledore but due to poor phone signal, the casualty location and severity of the injury was unknown. Accidents in this area are often serious.
It was not possible to talk to the informant, so a full callout was initiated and a coastguard helicopter with winching capability requested. Although the helicopter would not have been able to reach the casualty site because of cloud, the crew would have been able to give team members a lift up the hill as far as possible. This would have helped a great deal if a lot of heavy crag equipment was needed.
As the team were mobilising and the helicopter was en route, a call came in to say the team was no longer needed, so all assets were stood down.
Our thanks to the helicopter crew for their assistance. ", Incident started at 07:46 and ended at 09:19 making 1.6 hrs in total. There were 13 Wasdale team members involved and the incident occured at NY209068. Total rescuer hours: 21,07:46,09:19,1.6,13,NY209068,21.0,"['Coastguard', 'Cumbria Police']",Head Injury,2021,6,2021-06-01
710,Scafell Pike – Fri 25th Jun 2021,2021-06-25,34 in 2021,Full Callout — Lost,Scafell Pike,"['Mist', 'Rain', 'Windy']",,Full Callout,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-fri-25th-jun-2021/,"As we were still dealing with the Stanley Gill incident, another call came in about a male lost on Scafell Pike summit. His map had blown away in the wind. More Duddon team members kindly responded to this as well as some diverting from the Eskdale job.
The gentleman was exhausted and frightened. He was escorted from the summit by Duddon MRT. A huge thanks to them for helping us out at such a busy time. ", Incident started at 16:08 and ended at 21:03 making 4.9 hrs in total. There were 4 Wasdale team members involved and the incident occured at NY21560731. Total rescuer hours: 20,16:08,21:03,4.9,4,NY21560731,20.0,['Duddon & Furness MRT'],,2021,6,2021-06-01
711,"Stanley Ghyll, Eskdale – Fri 25th Jun 2021",2021-06-25,33 in 2021,Full Callout — Injured & Medical,"Stanley Ghyll, Eskdale","['Low Cloud', 'Warm']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/stanley-ghyll-eskdale-fri-25th-jun-2021/,"A call came in of a male with various injuries who had crashed off his mountain bike near Stanley Gill.
Once on scene the man was given pain relief and transferred by stretcher to the waiting ambulance for further medical care.    ", Incident started at 14:50 and ended at 18:12 making 3.4 hrs in total. There were 14 Wasdale team members involved and the incident occured at SD 17200 99600. Total rescuer hours: 48,14:50,18:12,3.4,14,,48.0,['Duddon & Furness MRT'],Multiple Injuries,2021,6,2021-06-01
712,Broad Crag – Tue 22nd Jun 2021,2021-06-22,32 in 2021,Full Callout — Injured & Medical,Broad Crag,"['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/broad-crag-tue-22nd-jun-2021/,"A call came in to the team leader of a male with a knee injury on Broad Crag. Because of the unknown nature of the injury, stretched team resources after the previous job, a helicopter was called for. More Duddon team members kindly responded to assist. A team member already on Scafell Pike summit was diverted to the scene to give a situation report and guide the coastguard helicopter in.
Once on board the aircraft the casualty was flown to the Keswick MRT area and transferred to their team.
A big thank you to Duddon MRT, Keswick MRT and Rescue 199 ( coastguard helicopter). ", Incident started at 18:51 and ended at 21:20 making 2.5 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY221076. Total rescuer hours: 28,18:51,21:20,2.5,11,NY221076,28.0,"['Duddon & Furness MRT', 'Keswick MRT', 'Rescue 199 from Prestwick']",Knee Injury,2021,6,2021-06-01
713,Mitredale – Tue 22nd Jun 2021,2021-06-22,31 in 2021,Full Callout — Injured & Medical,Miterdale,"['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/mitredale-tue-22nd-jun-2021/,North West Ambulance Service called the team out to a lady with a suspected broken ankle in MiterdaleÃ‚Â Forest. Once on scene the team medics administered pain relief and then splinted the ankle. She was then stretchered back to her car. Her family then drove her to the hospital to get further treatment. , Incident started at 15:20 and ended at 17:45 making 2.4 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY 13900 01400. Total rescuer hours: 26,15:20,17:45,2.4,11,NY 13900 01400,26.0,['North West Ambulance Service'],Ankle Injury,2021,6,2021-06-01
714,"Lingmell Col, Scafell Pike – Sat 19th Jun 2021",2021-06-19,30 in 2021,Full Callout — Injured & Medical,"Lingmell Col, Scafell Pike","['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/lingmell-col-scafell-pike-sat-19th-jun-2021/,"A call came in about a gentleman with a medical condition near to Lingmel Col. The team leader immediately called for Air Ambulance support as well as back up from Duddon MRT.
The casualty was airlifted to a waiting land ambulance and transferred to hospital. The rest of his family were escorted off the mountain by team members.
We hope the gentleman recovers well. A big thanks to the air ambulance and Duddon MRT for their assistance. ", Incident started at 16:43 and ended at 21:04 making 4.4 hrs in total. There were 11 Wasdale team members involved and the incident occured at NY208076. Total rescuer hours: 48,16:43,21:04,4.4,11,NY208076,48.0,"['Duddon & Furness MRT', 'North West Air Ambulance']",Medical,2021,6,2021-06-01
715,Scafell Pike – Fri 18th Jun 2021,2021-06-18,29 in 2021,Alert — Other,Scafell Pike,,,Alert,Other,https://www.wmrt.org.uk/incidents/scafell-pike-sun-18th-jul-2021/,"We were alerted by Cumbria Police regarding lights on the fell, thought to be signalling SOS. After investigation, they were deemed to be lights from walkers on a sponsored charity event, so the team was not deployed. ", Incident started at 23:17 and ended at 00:33 making 1.3 hrs in total. There was 1 Wasdale team member involved and the incident occured at NY 21600 07400. Total rescuer hours: 1.3,23:17,00:33,1.3,1,NY 21600 07400,1.3,,,2021,6,2021-06-01
716,"Brown Tongue, Scafell Pike – Thu 17th Jun 2021",2021-06-17,28 in 2021,Full Callout — Injured & Medical,"Brown Tongue, Scafell Pike","['Hot', 'Sunny']",,Full Callout,Injured & Medical,https://www.wmrt.org.uk/incidents/brown-tongue-scafell-pike-thu-17th-jun-2021/,"The team were called to a young man with a reported dislocated knee. When we arrived on scene the casualty had managed to re set the knee himself.
Pain relief was given and the gent was stretchered off the hill where he was advised to make his own way to hospital( partner driving) to get things checked over. ", Incident started at 14:12 and ended at 17:34 making 3.4 hrs in total. There were 14 Wasdale team members involved and the incident occured at NY19310739. Total rescuer hours: 48,14:12,17:34,3.4,14,NY19310739,48.0,,Knee Injury,2021,6,2021-06-01
717,Scafell Pike – Tue 15th Jun 2021,2021-06-15,27 in 2021,Alert — Lost,Scafell Pike,['Fine'],,Alert,Lost,https://www.wmrt.org.uk/incidents/scafell-pike-tue-15th-jun-2021/,"We were alerted by Cumbria police about 2 walkers who had reported themselves lost, possibly on the descent from Scafell Pike but this was not certain from the information they had given to the police. It was not possible to speak to them either by phone or text and the phonefind was unsuccessful, so there was no way of knowing even which fell they were on. A team member went to car parks to look for the car which was not there, so it was assumed they had got down and left the valley. However, it was another 3 hours before contact could be established to confirm this. ", Incident started at 17:56 and ended at 21:20 making 3.4 hrs in total. ,17:56,21:20,3.4,,,,,,2021,6,2021-06-01
718,"Horn Crag, Upper Eskdale – Mon 14th Jun 2021",2021-06-14,26 in 2021,Alert — Lost,"Horn Crag, Upper Eskdale",['Fine'],,Alert,Lost,https://www.wmrt.org.uk/incidents/horn-crag-upper-eskdale-mon-14th-jun-2021/,"A call came in from the police about a gentleman lost when descending Scafell Pike.
Using phone find the location came back as just below Horn crag, Eskdale. The team leader made contact with the person and talked him off the fell in the direction of Burnmore Tarn. On his way to the tarn he bumped into another walking group. They kindly pointed him on the right track using their map and compass !
The gent was using his phone to navigate but lost this tool as he lost phone signal. We come across this kind of scenario all too often, always a good idea to have a back up plan- map and compass, and know how to use them. ", Incident started at 12:38 and ended at 17:55 making 5.3 hrs in total.  Incident occured at NY21320451.,12:38,17:55,5.3,,NY21320451,,,,2021,6,2021-06-01
